letter,ThetaHat,nt,nf,nm,km,kt,kd,ka,kz,qa,qt,qd,qs,qz,U,rho
ا,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ب,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
ت,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2
ث,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2
ج,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3
ح,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3
خ,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3
د,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ذ,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
ر,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
ز,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
س,4,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2
ش,4,0,3,0,0,0,0,0,0,1,2,0,0,0,2,2
ص,6,0,0,0,0,0,0,0,0,1,0,1,0,0,4,2
ض,6,0,1,0,0,0,0,0,0,1,0,1,0,0,4,2
ط,4,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0
ظ,4,0,1,0,0,0,0,1,0,0,0,1,0,0,4,0
ع,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2
غ,3,0,1,0,0,0,0,0,0,1,1,0,0,0,1,2
ف,5,0,1,0,0,0,0,0,0,0,0,1,1,0,5,0
ق,6,0,2,0,0,0,0,0,0,1,0,1,0,0,4,2
ك,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
ل,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
م,4,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0
ن,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
و,5,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0
هـ,8,0,0,0,0,0,1,0,0,0,0,2,0,0,8,0
ي,3,2,0,0,0,0,0,0,0,1,0,0,1,0,1,2
